Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
2014-10-01,67,824,1043,5920,123
2014-10-02,55,370,509,6274,155
2014-10-03,72,244,198,6272,200
2014-10-04,63,205,102,6252,122
2014-10-05,40,151,94,6236,110
2014-10-06,53,121,83,6148,171
2014-10-07,65,124,62,6054,156
2014-10-08,61,112,73,5968,159
2014-10-09,64,102,74,5883,159
2014-10-10,56,96,62,5786,159
2014-10-11,62,129,29,5741,74
2014-10-12,61,143,47,5693,95
2014-10-13,65,131,77,5589,181
2014-10-14,76,135,72,5542,119
2014-10-15,69,125,79,5477,144
2014-10-16,56,102,79,5397,159
2014-10-17,68,127,43,5280,160
2014-10-18,47,122,52,5236,96
2014-10-19,62,138,46,5211,71
2014-10-20,63,120,81,5163,129
2014-10-21,62,116,66,5092,137
2014-10-22,58,111,63,4961,194
2014-10-23,77,139,49,4850,160
2014-10-24,62,122,79,4795,134
2014-10-25,51,127,46,4761,80
2014-10-26,51,134,44,4715,90
2014-10-27,69,131,72,4654,133
2014-10-28,68,123,76,4615,115
2014-10-29,68,129,62,4520,157
2014-10-30,68,123,74,4456,138
2014-10-31,88,149,62,4373,145
2014-11-01,60,155,54,4353,74
2014-11-02,59,144,70,4345,78
2014-11-03,67,134,77,4306,116
2014-11-04,83,144,73,4243,136
2014-11-05,90,164,70,4172,141
2014-11-06,74,150,88,4133,127
2014-11-07,67,131,86,4094,125
2014-11-08,57,138,50,4080,64
2014-11-09,71,159,50,4070,60
2014-11-10,85,158,86,4027,129
2014-11-11,82,153,87,3981,133
2014-11-12,68,142,79,3939,121
2014-11-13,78,143,77,3908,108
2014-11-14,77,145,75,3858,125
2014-11-15,66,157,54,3852,60
2014-11-16,73,165,65,3855,62
2014-11-17,78,132,111,3879,87
2014-11-18,84,144,72,3828,123
2014-11-19,76,145,75,3779,124
2014-11-20,79,152,72,3746,105
2014-11-21,83,163,72,3724,94
2014-11-22,51,147,67,3721,70
2014-11-23,61,148,60,3726,55
2014-11-24,70,144,74,3701,99
2014-11-25,69,146,67,3666,102
2014-11-26,72,130,88,3609,145
2014-11-27,95,162,63,3572,100
2014-11-28,66,145,83,3568,87
2014-11-29,74,161,58,3557,69
2014-11-30,50,145,66,3564,59
2014-12-01,87,148,84,3505,143
2014-12-02,94,174,68,3485,88
2014-12-03,100,204,70,3458,97
2014-12-04,102,192,114,3486,86
2014-12-05,103,195,100,3471,115
2014-12-06,74,188,81,3497,55
2014-12-07,73,182,79,3522,54
2014-12-08,104,188,98,3513,107
2014-12-09,89,162,115,3511,117
2014-12-10,76,124,114,3537,88
2014-12-11,77,130,71,3488,120
2014-12-12,80,132,78,3462,104
2014-12-13,84,174,42,3443,61
2014-12-14,80,185,69,3461,51
2014-12-15,102,194,93,3444,110
2014-12-16,86,184,96,3429,111
2014-12-17,94,176,102,3442,89
2014-12-18,101,158,119,3469,92
2014-12-19,88,162,84,3456,97
2014-12-20,83,180,65,3466,55
2014-12-21,70,186,64,3464,66
2014-12-22,87,176,97,3477,84
2014-12-23,87,186,77,3438,116
2014-12-24,77,148,115,3468,85
2014-12-25,99,155,92,3464,96
2014-12-26,85,153,87,3479,72
2014-12-27,78,177,54,3474,59
2014-12-28,84,193,68,3492,50
2014-12-29,98,201,90,3482,100
2014-12-30,101,189,113,3475,120
2014-12-31,90,153,126,3497,104
2015-01-01,101,158,96,3478,115
2015-01-02,107,193,72,3446,104
2015-01-03,71,181,83,3462,67
2015-01-04,74,189,66,3468,60
2015-01-05,89,185,93,3470,91
2015-01-06,93,167,111,3486,95
2015-01-07,115,199,83,3471,98
2015-01-08,94,181,112,3493,90
2015-01-09,102,173,110,3510,93
2015-01-10,112,220,65,3518,57
2015-01-11,87,223,84,3533,69
2015-01-12,121,242,102,3519,116
2015-01-13,94,205,131,3538,112
2015-01-14,105,187,123,3558,103
2015-01-15,94,175,106,3579,85
2015-01-16,103,194,84,3564,99
2015-01-17,104,225,73,3563,74
2015-01-18,71,197,99,3603,59
2015-01-19,115,200,112,3628,87
2015-01-20,112,207,105,3651,82
2015-01-21,99,191,115,3655,111
2015-01-22,87,172,106,3656,105
2015-01-23,109,202,79,3650,85
2015-01-24,85,200,87,3663,74
2015-01-25,95,217,78,3677,64
2015-01-26,108,214,111,3679,109
2015-01-27,138,252,100,3656,123
2015-01-28,104,230,126,3693,89
2015-01-29,93,209,114,3709,98
2015-01-30,111,209,111,3716,104
2015-01-31,95,236,68,3703,81
2015-02-01,125,254,107,3740,70
2015-02-02,136,232,158,3805,93
2015-02-03,127,237,122,3816,111
2015-02-04,150,240,147,3853,110
2015-02-05,101,203,138,3896,95
2015-02-06,109,194,118,3903,111
2015-02-07,89,209,74,3918,59
2015-02-08,96,225,80,3929,69
2015-02-09,98,188,135,3946,118
2015-02-10,132,222,98,3919,125
2015-02-11,116,227,111,3892,138
2015-02-12,96,195,128,3903,117
2015-02-13,103,189,109,3910,102
2015-02-14,107,228,68,3912,66
2015-02-15,116,262,82,3927,67
2015-02-16,162,286,138,3953,112
2015-02-17,187,333,140,3992,101
2015-02-18,128,255,206,4073,125
2015-02-19,104,199,160,4137,96
2015-02-20,87,177,109,4149,97
2015-02-21,106,219,64,4134,79
2015-02-22,90,227,82,4145,71
2015-02-23,113,219,121,4114,152
2015-02-24,110,235,94,4081,127
2015-02-25,118,214,139,4134,86
2015-02-26,141,253,102,4141,95
2015-02-27,123,214,162,4155,148
2015-02-28,100,239,75,4160,70
2015-03-01,91,218,112,4192,80
2015-03-02,97,190,125,4184,133
2015-03-03,116,213,93,4183,94
2015-03-04,124,201,136,4208,111
2015-03-05,163,258,106,4211,103
2015-03-06,128,226,160,4255,116
2015-03-07,123,275,74,4261,68
2015-03-08,99,253,121,4307,75
2015-03-09,105,198,160,4357,110
2015-03-10,108,176,130,4365,122
2015-03-11,112,191,97,4354,108
2015-03-12,172,254,109,4349,114
2015-03-13,110,222,142,4401,90
2015-03-14,121,268,75,4412,64
2015-03-15,93,266,95,4425,82
2015-03-16,144,267,143,4458,110
2015-03-17,133,250,150,4496,112
2015-03-18,122,239,133,4506,123
2015-03-19,124,244,119,4502,123
2015-03-20,113,225,132,4499,135
2015-03-21,114,244,95,4515,79
2015-03-22,99,226,117,4555,77
2015-03-23,104,209,121,4574,102
2015-03-24,103,184,128,4549,153
2015-03-25,128,201,111,4509,151
2015-03-26,159,261,99,4488,120
2015-03-27,128,261,128,4513,103
2015-03-28,104,253,112,4538,87
2015-03-29,111,273,91,4550,79
2015-03-30,152,264,161,4575,136
2015-03-31,129,250,143,4567,151
